Nom;Table;nbr
191955715_TempRet;techant9816;120
3091141_TempRet;techant22067;120
3091141_TempRet;techant22096;120
1511149_TempRet;techant11054;120
1511149_TempRet;techant11045;120
191977459_TempRet;techant9868;120
191977459_TempRet;techant9859;120
191732322_TempRet;techant9902;120
191732322_TempRet;techant9893;120
191732333_TempRet;techant9940;120
191732333_TempRet;techant9932;120
191732451_TempRet;techant21540;120
191732451_TempRet;techant21534;120
191732301_TempRet;techant14139;120
191732301_TempRet;techant14129;120
1517315_TempRet;techant14176;120
1517315_TempRet;techant14170;120
160001283_TempRet;techant14215;120
160001283_TempRet;techant14207;120
3092184_TempRet;techant14252;120
3092184_TempRet;techant14243;120
3092181_TempRet;techant14289;120
3092181_TempRet;techant14283;120
3092180_TempRet;techant14326;120
3092180_TempRet;techant14316;120
3092179_TempRet;techant14363;120
3092179_TempRet;techant14353;120
3092197_TempRet;techant14397;120
3092197_TempRet;techant14391;120
1510725_TempRet;techant22318;120
1510725_TempRet;techant22312;120
235004706_TempRet;techant10006;120
235004706_TempRet;techant10000;120
3091187_TempRet;techant16010;120
3091187_TempRet;techant16000;120
3091188_TempRet;techant16059;120
3091188_TempRet;techant16049;120
191986468_TempRet;techant10046;120
191986468_TempRet;techant10037;120
3091363_TempRet;techant14435;120
3091363_TempRet;techant14428;120
3091355_TempRet;techant19050;120
3091355_TempRet;techant19040;120
3091358_TempRet;techant19104;120
3091358_TempRet;techant19098;120
3091357_TempRet;techant14475;120
3091357_TempRet;techant14465;120
1510662_TempRet;techant11125;120
1510662_TempRet;techant11115;120
1510655_TempRet;techant20859;120
1510655_TempRet;techant20849;120
1510639_TempRet;techant15209;120
1510639_TempRet;techant15200;120
1517137_TempRet;techant14512;120
1517137_TempRet;techant14506;120
191977444_TempRet;techant23417;120
191977444_TempRet;techant23404;120
191967959_TempRet;techant21576;120
191967959_TempRet;techant21570;120
1517184_TempRet;techant14553;120
1517184_TempRet;techant14543;120
1511244_TempRet;techant21613;120
1511244_TempRet;techant21607;120
3091361_TempRet;techant14588;120
3091361_TempRet;techant14582;120
1510841_TempRet;techant20919;120
1510841_TempRet;techant20901;120
1510838_TempRet;techant21654;120
1510838_TempRet;techant21644;120
1510837_TempRet;techant21704;120
1510837_TempRet;techant21681;120
1510842_TempRet;techant21753;120
1510842_TempRet;techant21734;120
1510833_TempRet;techant22359;120
1510833_TempRet;techant22349;120
3091304_TempRet;techant12697;120
3091304_TempRet;techant12687;120
3091305_TempRet;techant12732;120
3091305_TempRet;techant12726;120
3091307_TempRet;techant12770;120
3091307_TempRet;techant12764;120
3091308_TempRet;techant12807;120
3091308_TempRet;techant12801;120
3091286_TempRet;techant12849;120
3091286_TempRet;techant12843;120
3091287_TempRet;techant12887;120
3091287_TempRet;techant12878;120
3091288_TempRet;techant12929;120
3091288_TempRet;techant12923;120
3091289_TempRet;techant12967;120
3091289_TempRet;techant12961;120
3091290_TempRet;techant13009;120
3091290_TempRet;techant13003;120
3091291_TempRet;techant13047;120
3091291_TempRet;techant13041;120
3091292_TempRet;techant13089;120
3091292_TempRet;techant13083;120
3091295_TempRet;techant13128;120
3091295_TempRet;techant13121;120
3091296_TempRet;techant15246;120
3091296_TempRet;techant15240;120
3091298_TempRet;techant12527;120
3091298_TempRet;techant12521;120
3091299_TempRet;techant12566;120
3091299_TempRet;techant12555;120
3091293_TempRet;techant13162;120
