Nom;Table;nbr
1510594_TempRet;techant13579;120
1510594_PuisCpt;techant13566;120
1510593_TempRet;techant12490;120
1510593_PuisCpt;techant12478;120
235004711_TempRet;techant335;120
235004711_PuisCpt;techant22287;120
1511620_TempRet;techant7303;120
1511620_PuisCpt;techant7290;120
191257930_TempRet;techant9404;120
191257930_PuisCpt;techant9392;120
1511262_TempRet;techant110;120
1511262_PuisCpt;techant18901;120
191697337_TempRet;techant7332;120
191697337_PuisCpt;techant7319;120
191780731_TempRet;techant13616;120
191780731_PuisCpt;techant13603;120
191768177_TempRet;techant1483;120
191768177_PuisCpt;techant1474;120
1510772_TempRet;techant21276;120
1510772_PuisCpt;techant21255;120
1510839_TempRet;techant21321;120
1510839_PuisCpt;techant21308;120
9015340_TempRet;techant15844;120
9015340_PuisCpt;techant15834;120
1517342_TempRet;techant17926;120
1517342_PuisCpt;techant17913;120
1511061_TempRet;techant7367;120
1511061_PuisCpt;techant7354;120
1511062_TempRet;techant7397;120
1511062_PuisCpt;techant7385;120
1511063_TempRet;techant7431;120
1511063_PuisCpt;techant7418;120
1511066_TempRet;techant7464;120
1511066_PuisCpt;techant7453;120
1511067_TempRet;techant7497;120
1511067_PuisCpt;techant7484;120
191652911_TempRet;techant15885;120
191652911_PuisCpt;techant15872;120
1517151_TempRet;techant15923;120
1517151_PuisCpt;techant15910;120
9081167_TempRet;techant5830;120
9081167_PuisCpt;techant5819;120
3092138_TempRet;techant13650;120
3092138_PuisCpt;techant13637;120
235002225_TempRet;techant313;120
235002225_PuisCpt;techant36772;120
190994831_TempRet;techant1654;120
190994831_PuisCpt;techant1503;120
191757478_TempRet;techant21054;120
191757478_PuisCpt;techant21079;120
191769038_TempRet;techant21358;120
191769038_PuisCpt;techant21345;120
235002563_TempRet;techant316;120
235002563_PuisCpt;techant36790;120
190206180_TempRet;techant166;120
190206180_PuisCpt;techant20400;120
191858178_TempRet;techant20225;120
191858178_PuisCpt;techant20216;120
160002218_TempRet;techant18883;120
160002218_PuisCpt;techant18873;120
1517270_TempRet;techant13689;120
1517270_PuisCpt;techant13678;120
1510840_TempRet;techant20331;120
1510840_PuisCpt;techant20308;120
3092153_TempRet;techant13724;120
3092153_PuisCpt;techant13711;120
1517157_TempRet;techant13761;120
1517157_PuisCpt;techant13752;120
1517158_TempRet;techant15963;120
1517158_PuisCpt;techant15950;120
1517136_TempRet;techant13798;120
1517136_PuisCpt;techant13789;120
191677896_TempRet;techant9439;120
191677896_PuisCpt;techant9429;120
1511109_TempRet;techant10856;120
1511109_PuisCpt;techant10845;120
1511108_TempRet;techant16494;120
1511108_PuisCpt;techant16481;120
3091353_TempRet;techant9479;120
3091353_PuisCpt;techant9468;120
191769057_TempRet;techant13839;120
191769057_PuisCpt;techant13830;120
235001379_TempRet;techant10891;120
235001379_PuisCpt;techant10876;120
3092139_TempRet;techant13880;120
3092139_PuisCpt;techant13864;120
1517408_TempRet;techant12656;120
1517408_PuisCpt;techant12647;120
1517454_TempRet;techant18401;120
1517454_PuisCpt;techant18392;120
160001213_TempRet;techant136;120
160001213_PuisCpt;techant20540;120
160001217_TempRet;techant143;120
160001217_PuisCpt;techant28283;120
3091384_TempRet;techant444;120
3091384_PuisCpt;techant28344;120
3091382_TempRet;techant441;120
3091382_PuisCpt;techant28819;120
160001211_TempRet;techant133;120
160001211_PuisCpt;techant33379;120
3091209_TempRet;techant438;120
3091209_PuisCpt;techant33398;120
235005964_TempRet;techant19430;120
235005964_PuisCpt;techant19481;120
1517373_TempRet;techant7739;120
1517373_PuisCpt;techant7726;120
1517430_TempRet;techant18438;120
1517430_PuisCpt;techant18426;120
191858179_TempRet;techant18927;120
191858179_PuisCpt;techant18918;120
235557798_TempRet;techant10920;120
235557798_PuisCpt;techant10907;120
1511887_TempRet;techant21100;120
1511887_PuisCpt;techant21129;120
1511135_TempRet;techant3658;120
1511135_PuisCpt;techant3603;120
191857385_TempRet;techant22142;120
191857385_PuisCpt;techant22164;120
235557417_TempRet;techant5862;120
235557417_PuisCpt;techant5849;120
235005988_TempRet;techant5886;120
235005988_PuisCpt;techant5877;120
235005374_TempRet;techant21401;120
235005374_PuisCpt;techant21388;120
1517366_TempRet;techant9520;120
1517366_PuisCpt;techant9508;120
190508008_TempRet;techant255;120
190508008_PuisCpt;techant20615;120
190619749_TempRet;techant5915;120
190619749_PuisCpt;techant5902;120
1511261_TempRet;techant13917;120
1511261_PuisCpt;techant13904;120
190614214_TempRet;techant18464;120
190614214_PuisCpt;techant18454;120
190207496_TempRet;techant6565;120
190207496_PuisCpt;techant6556;120
235004466_TempRet;techant325;120
235004466_PuisCpt;techant24873;120
1511432_TempRet;techant130;120
1511432_PuisCpt;techant33417;120
9081156_TempRet;techant9560;120
9081156_PuisCpt;techant9547;120
1510739_TempRet;techant6831;120
1510739_PuisCpt;techant6822;120
1510741_TempRet;techant6896;120
1510741_PuisCpt;techant6887;120
1510743_TempRet;techant6927;120
1510743_PuisCpt;techant6915;120
1510744_TempRet;techant21447;120
1510744_PuisCpt;techant21427;120
191876560_TempRet;techant310;120
191876560_PuisCpt;techant36836;120
191858180_TempRet;techant20427;120
191858180_PuisCpt;techant20406;120
3091168_TempRet;techant9584;120
3091168_PuisCpt;techant9574;120
190607088.b_TempRet;techant1733;120
190607088.b_PuisCpt;techant1724;120
502172326_TempRet;techant9615;120
502172326_PuisCpt;techant9606;120
1511305_TempRet;techant17963;120
1511305_PuisCpt;techant17950;120
190051816_TempRet;techant5974;120
190051816_PuisCpt;techant5963;120
9015353_TempRet;techant6007;120
9015353_PuisCpt;techant5994;120
3091338_TempRet;techant16529;120
3091338_PuisCpt;techant16517;120
3091339_TempRet;techant21487;120
3091339_PuisCpt;techant21475;120
3091330_TempRet;techant23376;120
3091330_PuisCpt;techant23364;120
1510482_TempRet;techant9644;120
1510482_PuisCpt;techant9633;120
1510640_TempRet;techant9675;120
1510640_PuisCpt;techant9666;120
235003643_TempRet;techant20480;120
235003643_PuisCpt;techant20468;120
1510646_TempRet;techant9712;120
1510646_PuisCpt;techant9703;120
3091364_TempRet;techant13958;120
3091364_PuisCpt;techant13945;120
1517649_TempRet;techant13993;120
1517649_PuisCpt;techant13980;120
1517650_TempRet;techant14024;120
1517650_PuisCpt;techant14013;120
1517651_TempRet;techant14061;120
1517651_PuisCpt;techant14048;120
1517652_TempRet;techant14102;120
1517652_PuisCpt;techant14089;120
1511098_TempRet;techant9748;120
1511098_PuisCpt;techant9739;120
3091347_TempRet;techant20517;120
3091347_PuisCpt;techant20506;120
3091345_TempRet;techant20598;120
3091345_PuisCpt;techant20585;120
1511260_TempRet;techant18968;120
1511260_PuisCpt;techant18955;120
3091245_TempRet;techant7545;120
3091245_PuisCpt;techant7532;120
3091386_TempRet;techant10953;120
3091386_PuisCpt;techant10940;120
1511288_TempRet;techant9786;120
1511288_PuisCpt;techant9771;120
1511810_TempRet;techant10990;120
1511810_PuisCpt;techant10977;120
235002243_TempRet;techant20669;120
235002243_PuisCpt;techant20636;120
160003652_TempRet;techant20714;120
160003652_PuisCpt;techant20701;120
235001878_TempRet;techant20751;120
235001878_PuisCpt;techant20742;120
235002858_TempRet;techant20801;120
235002858_PuisCpt;techant20792;120
191966656_TempRet;techant11019;120
191966656_PuisCpt;techant11010;120
191955715_TempRet;techant9825;120
191955715_PuisCpt;techant9813;120
3091141_TempRet;techant22067;120
3091141_PuisCpt;techant22112;120
1511149_TempRet;techant11054;120
1511149_PuisCpt;techant11041;120
191977459_TempRet;techant9868;120
191977459_PuisCpt;techant9855;120
191732322_TempRet;techant9902;120
191732322_PuisCpt;techant9889;120
191732333_TempRet;techant9940;120
191732333_PuisCpt;techant9929;120
191732451_TempRet;techant21540;120
191732451_PuisCpt;techant21531;120
191732301_TempRet;techant14139;120
191732301_PuisCpt;techant14126;120
1517315_TempRet;techant14176;120
1517315_PuisCpt;techant14167;120
160001283_TempRet;techant14215;120
160001283_PuisCpt;techant14204;120
3092184_TempRet;techant14252;120
3092184_PuisCpt;techant14239;120
3092181_TempRet;techant14289;120
3092181_PuisCpt;techant14277;120
3092180_TempRet;techant14326;120
3092180_PuisCpt;techant14313;120
3092179_TempRet;techant14363;120
3092179_PuisCpt;techant14350;120
3092197_TempRet;techant14397;120
3092197_PuisCpt;techant14387;120
1510725_TempRet;techant22318;120
1510725_PuisCpt;techant22309;120
235004706_TempRet;techant10006;120
235004706_PuisCpt;techant9997;120
3091187_TempRet;techant16010;120
3091187_PuisCpt;techant15997;120
3091188_TempRet;techant16059;120
3091188_PuisCpt;techant16046;120
191986468_TempRet;techant10046;120
191986468_PuisCpt;techant10033;120
3091363_TempRet;techant14435;120
3091363_PuisCpt;techant14425;120
3091355_TempRet;techant19050;120
3091355_PuisCpt;techant19037;120
3091358_TempRet;techant19104;120
3091358_PuisCpt;techant19095;120
3091357_TempRet;techant14475;120
3091357_PuisCpt;techant14462;120
1510662_TempRet;techant11125;120
1510662_PuisCpt;techant11112;120
1510655_TempRet;techant20859;120
1510655_PuisCpt;techant20846;120
1510639_TempRet;techant15209;120
1510639_PuisCpt;techant15197;120
1517137_TempRet;techant14512;120
1517137_PuisCpt;techant14503;120
191977444_TempRet;techant23417;120
191977444_PuisCpt;techant23401;120
191967959_TempRet;techant21576;120
191967959_PuisCpt;techant21567;120
1517184_TempRet;techant14553;120
1517184_PuisCpt;techant14540;120
1511244_TempRet;techant21613;120
1511244_PuisCpt;techant21600;120
3091361_TempRet;techant14588;120
3091361_PuisCpt;techant14575;120
1510841_TempRet;techant20919;120
1510841_PuisCpt;techant20898;120
1510838_TempRet;techant21654;120
1510838_PuisCpt;techant21641;120
1510837_TempRet;techant21704;120
1510837_PuisCpt;techant21678;120
1510842_TempRet;techant21753;120
1510842_PuisCpt;techant21728;120
1510833_TempRet;techant22359;120
1510833_PuisCpt;techant22346;120
3091304_TempRet;techant12697;120
3091304_PuisCpt;techant12683;120
3091305_TempRet;techant12732;120
3091305_PuisCpt;techant12717;120
3091307_TempRet;techant12770;120
3091307_PuisCpt;techant12757;120
3091308_TempRet;techant12807;120
3091308_PuisCpt;techant12797;120
3091286_TempRet;techant12849;120
3091286_PuisCpt;techant12839;120
3091287_TempRet;techant12887;120
3091287_PuisCpt;techant12873;120
3091288_TempRet;techant12929;120
3091288_PuisCpt;techant12919;120
